inv7 T: all u,u1,u2:User | u.suggested implies u1.follows.u2
inv7 T: all u,u1,u2:User | u.suggested implies u.follows in follows.u2
inv7 B: all u,u1,u2:User | u1 in u.suggested implies u1 in follows.u2 and u2 in u1.follows
inv7 B: all u,u1,u2:User | u1 in u.suggested implies u1 in follows.u2 and u2 in u.follows
inv7 B: all u,u1,u2:User | u1 in u.suggested implies u1 in u2.follows and u2 in u.follows
inv7 B: all u,u1,u2:User | u1 in u.suggested implies u1 in follows.u2 and u2 in follows.u
inv7 B: all u,u1,u2:User | u1 in u.suggested implies u1 in u.follows and u2 in follows.u
inv7 B: all u,u1,u2:User | u1 in u.suggested implies u1 in follows.u2 and u2 in follows.u
inv7 S: all u,u1,u2:User | u1 in suggested.u implies u1 in u2follows and u2 in follows.u
inv7 B: all u,u1,u2:User | u1 in suggested.u implies u1 in u2.follows and u2 in follows.u
inv7 B: all u,u1,u2:User | u1 in suggested.u implies u1 in u2.follows and u2 in u.follows
inv7 B: all u,u1,u2:User | u1 in suggested.u implies u1 in follows.u2 and u2 in u.follows
inv7 B: all u,u1,u2:User | u in suggested.u1 implies u1 in follows.u2 and u2 in u.follows
inv7 B: all u,u1,u2:User | u in suggested.u1 implies u1 in follows.u2 and u2 in follows.u

